"","yearly_id","WR","snap_count","team_snaps","snap_personnel_usage"
"205","2021_00-0028097",3,17,301,5.64784053156146
"206","2021_00-0028118",1,26,26,100
"207","2021_00-0028118",2,113,134,84.3283582089552
"208","2021_00-0028118",3,175,211,82.9383886255924
"209","2021_00-0028118",4,1,1,100
"210","2021_00-0028129",1,93,98,94.8979591836735
"211","2021_00-0028129",2,263,308,85.3896103896104
"212","2021_00-0028129",3,707,782,90.4092071611253
"213","2021_00-0028129",4,3,4,75
"214","2021_00-0028237",1,3,10,30
"215","2021_00-0028237",2,19,75,25.3333333333333
"216","2021_00-0028237",3,20,81,24.6913580246914
"217","2021_00-0028237",4,1,10,10
"218","2021_00-0028292",1,0,35,0
"219","2021_00-0028292",2,2,200,1
"220","2021_00-0028292",3,0,430,0
"221","2021_00-0028292",4,0,1,0
"222","2021_00-0028292",NA,17,17,100
"223","2021_00-0028986",0,1,6,16.6666666666667
"224","2021_00-0028986",1,44,101,43.5643564356436
"225","2021_00-0028986",2,59,134,44.0298507462687
"226","2021_00-0028986",3,73,196,37.2448979591837
"227","2021_00-0028986",4,0,1,0
"228","2021_00-0029000",1,0,5,0
"229","2021_00-0029000",2,3,172,1.74418604651163
"230","2021_00-0029000",3,625,809,77.2558714462299
"231","2021_00-0029000",4,81,95,85.2631578947368
"232","2021_00-0029000",5,10,10,100
"233","2021_00-0029119",0,7,7,100
"234","2021_00-0029119",1,41,64,64.0625
"235","2021_00-0029119",2,4,162,2.46913580246914
"236","2021_00-0029119",3,0,226,0
"237","2021_00-0029119",4,0,1,0
"238","2021_00-0029144",0,1,1,100
"239","2021_00-0029144",1,55,56,98.2142857142857
"240","2021_00-0029144",2,274,318,86.1635220125786
"241","2021_00-0029144",3,378,407,92.8746928746929
"242","2021_00-0029144",4,1,1,100
"243","2021_00-0029164",1,6,6,100
"244","2021_00-0029164",2,34,34,100
"245","2021_00-0029164",3,112,112,100
"246","2021_00-0029239",1,2,40,5
"247","2021_00-0029239",2,49,355,13.8028169014085
"248","2021_00-0029239",3,306,607,50.4118616144975
"249","2021_00-0029239",4,3,6,50
"250","2021_00-0029263",1,26,26,100
"251","2021_00-0029263",2,243,254,95.6692913385827
"252","2021_00-0029263",3,516,532,96.9924812030075
"253","2021_00-0029263",4,1,1,100
"254","2021_00-0029263",NA,13,13,100
"255","2021_00-0029269",0,0,2,0
"256","2021_00-0029269",1,2,57,3.50877192982456
"257","2021_00-0029269",2,29,326,8.89570552147239
"258","2021_00-0029269",3,21,402,5.22388059701492
"259","2021_00-0029269",4,0,1,0
"260","2021_00-0029293",0,0,1,0
"261","2021_00-0029293",1,2,31,6.45161290322581
"262","2021_00-0029293",2,206,245,84.0816326530612
"263","2021_00-0029293",3,673,698,96.4183381088825
"264","2021_00-0029293",4,51,51,100
"265","2021_00-0029293",5,1,1,100
"266","2021_00-0029316",1,32,36,88.8888888888889
"267","2021_00-0029316",2,221,254,87.007874015748
"268","2021_00-0029316",3,574,605,94.8760330578512
"269","2021_00-0029316",4,113,127,88.9763779527559
"270","2021_00-0029316",5,1,1,100
"271","2021_00-0029413",1,124,130,95.3846153846154
"272","2021_00-0029413",2,319,330,96.6666666666667
"273","2021_00-0029413",3,659,667,98.8005997001499
"274","2021_00-0029413",4,5,5,100
"275","2021_00-0029419",1,6,7,85.7142857142857
"276","2021_00-0029419",2,108,118,91.5254237288136
"277","2021_00-0029419",3,248,261,95.0191570881226
"278","2021_00-0029419",4,4,4,100
"279","2021_00-0029528",0,5,5,100
"280","2021_00-0029528",1,62,64,96.875
"281","2021_00-0029528",2,214,237,90.295358649789
"282","2021_00-0029528",3,453,479,94.5720250521921
"283","2021_00-0029546",0,0,2,0
"284","2021_00-0029546",1,3,7,42.8571428571429
"285","2021_00-0029546",2,21,44,47.7272727272727
"286","2021_00-0029546",3,51,90,56.6666666666667
"287","2021_00-0029567",1,2,2,100
"288","2021_00-0029567",2,21,21,100
"289","2021_00-0029567",3,44,44,100
"290","2021_00-0029592",0,6,6,100
"291","2021_00-0029592",1,197,200,98.5
"292","2021_00-0029592",2,365,366,99.7267759562842
"293","2021_00-0029592",3,606,620,97.741935483871
"294","2021_00-0029592",4,33,33,100
"295","2021_00-0029604",0,1,1,100
"296","2021_00-0029604",1,96,96,100
"297","2021_00-0029604",2,356,356,100
"298","2021_00-0029604",3,488,488,100
"299","2021_00-0029604",4,90,90,100
"300","2021_00-0029608",1,0,41,0
"301","2021_00-0029608",2,25,197,12.6903553299492
"302","2021_00-0029608",3,315,392,80.3571428571429
"303","2021_00-0029608",4,6,8,75
"304","2021_00-0029632",0,0,5,0
"305","2021_00-0029632",1,0,41,0
"306","2021_00-0029632",2,1,224,0.446428571428571
"307","2021_00-0029632",3,239,241,99.1701244813278
"308","2021_00-0029664",0,0,1,0
"309","2021_00-0029664",1,1,64,1.5625
"310","2021_00-0029664",2,57,197,28.9340101522843
"311","2021_00-0029664",3,167,602,27.7408637873754
"312","2021_00-0029672",1,15,22,68.1818181818182
"313","2021_00-0029672",2,103,107,96.2616822429907
"314","2021_00-0029672",3,535,581,92.0826161790017
"315","2021_00-0029672",4,11,11,100
"316","2021_00-0029672",5,3,3,100
"317","2021_00-0029679",1,9,12,75
"318","2021_00-0029679",2,26,30,86.6666666666667
"319","2021_00-0029679",3,65,89,73.0337078651685
"320","2021_00-0029685",0,6,6,100
"321","2021_00-0029685",1,12,13,92.3076923076923
"322","2021_00-0029685",2,176,180,97.7777777777778
"323","2021_00-0029685",3,447,465,96.1290322580645
"324","2021_00-0029685",4,50,56,89.2857142857143
"325","2021_00-0029701",1,124,130,95.3846153846154
"326","2021_00-0029701",2,323,330,97.8787878787879
"327","2021_00-0029701",3,667,667,100
"328","2021_00-0029701",4,5,5,100
"329","2021_00-0029709",1,8,11,72.7272727272727
"330","2021_00-0029709",2,23,85,27.0588235294118
"331","2021_00-0029709",3,77,238,32.3529411764706
"332","2021_00-0029709",4,0,6,0
"333","2021_00-0029738",1,24,24,100
"334","2021_00-0029738",2,102,147,69.3877551020408
"335","2021_00-0029738",3,35,404,8.66336633663366
"336","2021_00-0029738",4,0,7,0
"337","2021_00-0029892",0,6,6,100
"338","2021_00-0029892",1,91,97,93.8144329896907
"339","2021_00-0029892",2,416,516,80.6201550387597
"340","2021_00-0029892",3,188,615,30.5691056910569
"341","2021_00-0029892",4,0,1,0
"342","2021_00-0029895",1,52,59,88.135593220339
"343","2021_00-0029895",2,243,254,95.6692913385827
"344","2021_00-0029895",3,808,821,98.4165651644336
"345","2021_00-0029895",4,27,27,100
"346","2021_00-0029895",5,3,3,100
"347","2021_00-0029963",1,4,9,44.4444444444444
"348","2021_00-0029963",2,13,23,56.5217391304348
"349","2021_00-0029963",3,22,26,84.6153846153846
"350","2021_00-0030035",0,0,1,0
"351","2021_00-0030035",1,58,75,77.3333333333333
"352","2021_00-0030035",2,265,318,83.3333333333333
"353","2021_00-0030035",3,355,414,85.7487922705314
"354","2021_00-0030035",4,76,81,93.8271604938272
"355","2021_00-0030046",1,13,18,72.2222222222222
"356","2021_00-0030046",2,26,40,65
"357","2021_00-0030046",3,37,112,33.0357142857143
"358","2021_00-0030046",4,29,33,87.8787878787879
"359","2021_00-0030061",1,46,46,100
"360","2021_00-0030061",2,230,265,86.7924528301887
"361","2021_00-0030061",3,571,765,74.640522875817
"362","2021_00-0030061",4,7,64,10.9375
"363","2021_00-0030066",1,0,8,0
"364","2021_00-0030066",2,7,49,14.2857142857143
"365","2021_00-0030066",3,8,52,15.3846153846154
"366","2021_00-0030066",4,1,25,4
"367","2021_00-0030067",1,41,43,95.3488372093023
"368","2021_00-0030067",2,89,109,81.651376146789
"369","2021_00-0030067",3,179,186,96.2365591397849
"370","2021_00-0030067",4,45,46,97.8260869565217
"371","2021_00-0030068",0,0,1,0
"372","2021_00-0030068",1,15,56,26.7857142857143
"373","2021_00-0030068",2,55,201,27.363184079602
"374","2021_00-0030068",3,263,506,51.9762845849802
"375","2021_00-0030068",4,6,6,100
"376","2021_00-0030074",1,0,1,0
"377","2021_00-0030074",2,9,18,50
"378","2021_00-0030074",3,18,48,37.5
"379","2021_00-0030076",0,13,13,100
"380","2021_00-0030076",1,235,235,100
"381","2021_00-0030076",2,337,337,100
"382","2021_00-0030076",3,445,445,100
"383","2021_00-0030076",4,2,2,100
"384","2021_00-0030083",1,16,17,94.1176470588235
"385","2021_00-0030083",2,88,118,74.5762711864407
"386","2021_00-0030083",3,170,208,81.7307692307692
"387","2021_00-0030083",4,2,2,100
"388","2021_00-0030085",1,2,48,4.16666666666667
"389","2021_00-0030085",2,56,154,36.3636363636364
"390","2021_00-0030085",3,143,301,47.5083056478405
"391","2021_00-0030085",4,30,74,40.5405405405405
"392","2021_00-0030097",1,130,130,100
"393","2021_00-0030097",2,330,330,100
"394","2021_00-0030097",3,666,667,99.8500749625187
"395","2021_00-0030097",4,5,5,100
"396","2021_00-0030108",0,5,5,100
"397","2021_00-0030108",1,10,10,100
"398","2021_00-0030108",2,208,215,96.7441860465116
"399","2021_00-0030108",3,317,529,59.9243856332703
"400","2021_00-0030108",4,5,96,5.20833333333333
"401","2021_00-0030155",1,34,38,89.4736842105263
"402","2021_00-0030155",2,112,220,50.9090909090909
"403","2021_00-0030155",3,53,520,10.1923076923077
"404","2021_00-0030155",4,1,159,0.628930817610063
"405","2021_00-0030155",5,0,1,0
"406","2021_00-0030181",1,63,63,100
"407","2021_00-0030181",2,233,312,74.6794871794872
"408","2021_00-0030181",3,326,710,45.9154929577465
"409","2021_00-0030181",4,0,11,0
"410","2021_00-0030181",NA,1,1,100
"411","2021_00-0030273",1,15,16,93.75
"412","2021_00-0030273",2,75,76,98.6842105263158
"413","2021_00-0030273",3,208,209,99.5215311004785
"414","2021_00-0030273",4,1,1,100
"415","2021_00-0030279",0,0,4,0
"416","2021_00-0030279",1,19,57,33.3333333333333
"417","2021_00-0030279",2,254,304,83.5526315789474
"418","2021_00-0030279",3,658,697,94.4045911047346
"419","2021_00-0030279",4,3,3,100
"420","2021_00-0030288",1,17,58,29.3103448275862
"421","2021_00-0030288",2,65,274,23.7226277372263
"422","2021_00-0030288",3,244,593,41.1467116357504
"423","2021_00-0030288",4,1,2,50
"424","2021_00-0030431",2,47,77,61.038961038961
"425","2021_00-0030431",3,503,518,97.1042471042471
"426","2021_00-0030431",4,3,3,100
"427","2021_00-0030456",1,8,48,16.6666666666667
"428","2021_00-0030456",2,22,177,12.4293785310734
"429","2021_00-0030456",3,154,659,23.3687405159332
"430","2021_00-0030456",4,8,27,29.6296296296296
"431","2021_00-0030456",5,0,3,0
"432","2021_00-0030465",1,2,2,100
"433","2021_00-0030465",2,4,11,36.3636363636364
"434","2021_00-0030465",3,3,43,6.97674418604651
"435","2021_00-0030496",1,27,83,32.5301204819277
"436","2021_00-0030496",2,58,201,28.8557213930348
"437","2021_00-0030496",3,78,271,28.7822878228782
"438","2021_00-0030496",4,0,2,0
"439","2021_00-0030506",0,1,1,100
"440","2021_00-0030506",1,84,105,80
"441","2021_00-0030506",2,253,314,80.5732484076433
"442","2021_00-0030506",3,775,917,84.5147219193021
"443","2021_00-0030506",4,0,4,0
"444","2021_00-0030513",0,5,6,83.3333333333333
"445","2021_00-0030513",1,80,158,50.6329113924051
"446","2021_00-0030513",2,128,279,45.8781362007168
"447","2021_00-0030513",3,154,510,30.1960784313725
"448","2021_00-0030513",4,0,31,0
"449","2021_00-0030520",0,2,5,40
"450","2021_00-0030520",1,11,13,84.6153846153846
"451","2021_00-0030520",2,60,73,82.1917808219178
"452","2021_00-0030520",3,135,187,72.192513368984
"453","2021_00-0030525",0,0,1,0
"454","2021_00-0030525",1,1,24,4.16666666666667
"455","2021_00-0030525",2,30,176,17.0454545454545
"456","2021_00-0030525",3,204,508,40.1574803149606
"457","2021_00-0030525",4,43,46,93.4782608695652
"458","2021_00-0030561",1,89,89,100
"459","2021_00-0030561",2,223,243,91.7695473251029
"460","2021_00-0030561",3,558,591,94.4162436548223
"461","2021_00-0030561",4,1,1,100
"462","2021_00-0030564",1,20,25,80
"463","2021_00-0030564",2,121,153,79.0849673202614
"464","2021_00-0030564",3,299,347,86.1671469740634
"465","2021_00-0030564",4,132,155,85.1612903225806
"466","2021_00-0030564",5,1,1,100
"467","2021_00-0030565",1,15,18,83.3333333333333
"468","2021_00-0030565",2,48,64,75
"469","2021_00-0030565",3,140,160,87.5
"470","2021_00-0030565",NA,4,5,80
"471","2021_00-0030578",0,9,11,81.8181818181818
"472","2021_00-0030578",1,115,194,59.2783505154639
"473","2021_00-0030578",2,237,436,54.3577981651376
"474","2021_00-0030578",3,77,290,26.551724137931
"475","2021_00-0030578",4,0,1,0
"476","2021_00-0030584",1,57,59,96.6101694915254
"477","2021_00-0030584",2,270,288,93.75
"478","2021_00-0030584",3,523,606,86.3036303630363
"479","2021_00-0030584",4,10,10,100
"480","2021_00-0030584",NA,1,1,100
"481","2021_00-0030585",1,38,41,92.6829268292683
"482","2021_00-0030585",2,194,224,86.6071428571429
"483","2021_00-0030585",3,433,486,89.0946502057613
"484","2021_00-0030585",4,135,152,88.8157894736842
"485","2021_00-0030585",5,1,1,100
"486","2021_00-0030648",0,6,6,100
"487","2021_00-0030648",1,191,200,95.5
"488","2021_00-0030648",2,359,366,98.0874316939891
"489","2021_00-0030648",3,601,620,96.9354838709677
"490","2021_00-0030648",4,33,33,100
"491","2021_00-0030663",0,0,7,0
"492","2021_00-0030663",1,3,74,4.05405405405405
"493","2021_00-0030663",2,10,188,5.31914893617021
"494","2021_00-0030663",3,37,278,13.3093525179856
"495","2021_00-0030663",4,1,1,100
"496","2021_00-0030669",0,0,1,0
"497","2021_00-0030669",1,0,68,0
"498","2021_00-0030669",2,158,571,27.6707530647986
"499","2021_00-0030669",3,173,252,68.6507936507936
"500","2021_00-0030669",4,2,3,66.6666666666667
"501","2021_00-0030694",1,53,53,100
"502","2021_00-0030694",2,171,180,95
"503","2021_00-0030694",3,332,345,96.231884057971
"504","2021_00-0030694",4,71,80,88.75
"505","2021_00-0030725",1,13,13,100
"506","2021_00-0030725",2,140,154,90.9090909090909
"507","2021_00-0030725",3,425,462,91.991341991342
"508","2021_00-0030725",4,5,6,83.3333333333333
"509","2021_00-0030725",5,1,1,100
"510","2021_00-0030781",1,19,29,65.5172413793103
"511","2021_00-0030781",2,132,136,97.0588235294118
"512","2021_00-0030781",3,855,878,97.380410022779
"513","2021_00-0030781",4,11,11,100
"514","2021_00-0030781",5,3,3,100
"515","2021_00-0030792",1,18,19,94.7368421052632
"516","2021_00-0030792",2,137,151,90.728476821192
"517","2021_00-0030792",3,363,394,92.1319796954315
"518","2021_00-0030792",4,2,2,100
"519","2021_00-0030827",0,0,1,0
"520","2021_00-0030827",1,20,22,90.9090909090909
"521","2021_00-0030827",2,124,149,83.2214765100671
"522","2021_00-0030827",3,364,411,88.5644768856448
"523","2021_00-0030827",4,36,40,90
"524","2021_00-0030829",1,23,29,79.3103448275862
"525","2021_00-0030829",2,53,120,44.1666666666667
"526","2021_00-0030829",3,76,294,25.8503401360544
"527","2021_00-0030829",4,0,8,0
"528","2021_00-0030869",1,1,4,25
"529","2021_00-0030869",2,41,79,51.8987341772152
"530","2021_00-0030869",3,138,266,51.8796992481203
"531","2021_00-0030869",4,2,2,100
"532","2021_00-0030874",0,0,1,0
"533","2021_00-0030874",1,8,44,18.1818181818182
"534","2021_00-0030874",2,31,173,17.9190751445087
"535","2021_00-0030874",3,108,490,22.0408163265306
"536","2021_00-0030874",4,0,4,0
"537","2021_00-0030968",0,4,11,36.3636363636364
"538","2021_00-0030968",1,72,208,34.6153846153846
"539","2021_00-0030968",2,156,451,34.589800443459
"540","2021_00-0030968",3,9,317,2.8391167192429
"541","2021_00-0030968",4,0,1,0
"542","2021_00-0031019",0,6,6,100
"543","2021_00-0031019",1,52,64,81.25
"544","2021_00-0031019",2,304,315,96.5079365079365
"545","2021_00-0031019",3,656,690,95.0724637681159
"546","2021_00-0031019",4,3,3,100
"547","2021_00-0031022",1,2,2,100
"548","2021_00-0031022",2,75,80,93.75
"549","2021_00-0031022",3,186,204,91.1764705882353
"550","2021_00-0031022",4,47,53,88.6792452830189
"551","2021_00-0031039",1,17,19,89.4736842105263
"552","2021_00-0031039",2,40,58,68.9655172413793
"553","2021_00-0031039",3,62,99,62.6262626262626
"554","2021_00-0031045",0,0,1,0
"555","2021_00-0031045",1,9,15,60
"556","2021_00-0031045",2,56,176,31.8181818181818
"557","2021_00-0031045",3,225,548,41.0583941605839
"558","2021_00-0031045",4,7,42,16.6666666666667
"559","2021_00-0031045",5,0,1,0
"560","2021_00-0031051",1,0,12,0
"561","2021_00-0031051",2,4,97,4.12371134020619
"562","2021_00-0031051",3,21,209,10.0478468899522
"563","2021_00-0031051",4,1,5,20
"564","2021_00-0031062",1,0,4,0
"565","2021_00-0031062",2,4,81,4.93827160493827
"566","2021_00-0031062",3,57,117,48.7179487179487
"567","2021_00-0031062",4,2,2,100
"568","2021_00-0031067",0,1,1,100
"569","2021_00-0031067",1,42,42,100
"570","2021_00-0031067",2,81,93,87.0967741935484
"571","2021_00-0031067",3,165,179,92.1787709497207
"572","2021_00-0031095",1,20,21,95.2380952380952
"573","2021_00-0031095",2,244,244,100
"574","2021_00-0031095",3,840,845,99.4082840236686
"575","2021_00-0031095",4,6,6,100
"576","2021_00-0031095",5,1,1,100
"577","2021_00-0031122",0,1,1,100
"578","2021_00-0031122",1,31,31,100
"579","2021_00-0031122",2,244,245,99.5918367346939
"580","2021_00-0031122",3,693,698,99.2836676217765
"581","2021_00-0031122",4,51,51,100
"582","2021_00-0031122",5,1,1,100
"583","2021_00-0031142",0,6,6,100
"584","2021_00-0031142",1,61,64,95.3125
"585","2021_00-0031142",2,307,308,99.6753246753247
"586","2021_00-0031142",3,686,687,99.8544395924309
"587","2021_00-0031142",4,3,3,100
"588","2021_00-0031235",0,0,5,0
"589","2021_00-0031235",1,41,120,34.1666666666667
"590","2021_00-0031235",2,92,153,60.1307189542484
"591","2021_00-0031235",3,689,795,86.6666666666667
"592","2021_00-0031235",4,23,23,100
"593","2021_00-0031235",NA,1,1,100
