"","yearly_id","WR1","WR2","WR3","WR4","RB1","RB2","TE1","TE2"
"3114","2019_00-0033908",0,16.8067226890756,99.2822966507177,100,80.1236749116608,0,99.2840095465394,16.8067226890756
"3115","2019_00-0033909",97.737556561086,98.1512605042017,92.3371647509579,100,96.734693877551,96.6292134831461,94.3983402489627,98.1744421906694
"3116","2019_00-0033910",100,97.7272727272727,97.3753280839895,0,97.7135980746089,96.9387755102041,97.3626373626374,100
"3117","2019_00-0033911",0,0,16.6666666666667,100,13.2352941176471,0,16.6666666666667,0
"3118","2019_00-0033921",20.8333333333333,97.737556561086,97.6887519260401,100,96.7441860465116,35.5555555555556,97.8056426332288,87.1323529411765
"3119","2019_00-0033923",47.3684210526316,49.7435897435897,68.6006825938567,0,45.4794520547945,99.2537313432836,66.4206642066421,27.9411764705882
"3120","2019_00-0033932",59.7402597402597,86.4864864864865,93.620178041543,100,90.9817351598174,76.6081871345029,92.6451612903226,82.5112107623318
"3121","2019_00-0033933",0,0,15.7894736842105,0,12,0,13.3333333333333,0
"3122","2019_00-0033943",90.4761904761905,69.7478991596639,32.0574162679426,100,43.2862190812721,0,32.2195704057279,69.7478991596639
"3123","2019_00-0033948",36.3636363636364,31.6239316239316,43.5534591194969,0,39.774011299435,35.7142857142857,41.9817470664928,31.8548387096774
"3124","2019_00-0033950",30,18.3431952662722,24.6938775510204,0,24.1545893719807,13.5593220338983,23.8185255198488,21.1678832116788
"3125","2019_00-0033951",63.4920634920635,58.8461538461538,49.2201039861352,66.6666666666667,53.3180778032037,51.3513513513513,49.1776315789474,59.6491228070175
"3126","2019_00-0033955",0,17.6470588235294,0,0,4.54545454545455,0,0,17.6470588235294
"3127","2019_00-0033960",66.6666666666667,84.6153846153846,60.5263157894737,100,66.0606060606061,100,64.84375,79.5918367346939
"3128","2019_00-0033994",2.94117647058824,8,22.9411764705882,0,17.3116089613035,7.72946859903382,19.0775681341719,5.64971751412429
"3129","2019_00-0034011",100,27.34375,44,2.5,36.9477911646586,2.27272727272727,32.3353293413174,42.0454545454545
"3130","2019_00-0034034",0,0,3.33333333333333,0,2,0,2.94117647058824,0
"3131","2019_00-0034052",15,7.56302521008403,16.2079510703364,0,14.187643020595,12.2448979591837,15.6976744186047,9.9236641221374
"3132","2019_00-0034054",50,0,7.84313725490196,0,6.25,0,7.84313725490196,0
"3133","2019_00-0034073",49.6732026143791,35.6756756756757,20.7243460764588,0,36.5253077975376,24.0083507306889,18.7799043062201,57.4712643678161
"3134","2019_00-0034081",100,31.3131313131313,39.6551724137931,0,35.2112676056338,100,39.6551724137931,32.6732673267327
"3135","2019_00-0034104",0,27.027027027027,16.5957446808511,6.25,16.7235494880546,16.6666666666667,17.0833333333333,26.6666666666667
"3136","2019_00-0034109",68.1818181818182,56.3739376770538,42.7767354596623,0,46.9489414694894,63.8009049773756,46.6266866566717,54.4802867383513
"3137","2019_00-0034112",56.8627450980392,72.4832214765101,66.3101604278075,0,63.258785942492,83.5443037974684,71.6101694915254,63.9344262295082
"3138","2019_00-0034114",23.5294117647059,15.3846153846154,8.33333333333333,0,10.4347826086957,0,8.33333333333333,15.3846153846154
"3139","2019_00-0034115",19.6078431372549,10.4838709677419,10.1694915254237,0,9.47075208913649,14.6892655367232,11.1413043478261,11.25
"3140","2019_00-0034118",100,55.8823529411765,40,0,38.8888888888889,65.7142857142857,50,66.6666666666667
"3141","2019_00-0034132",25,43.9024390243902,51.6129032258064,64.1025641025641,49.7326203208556,41.4634146341463,51.0288065843621,34.2857142857143
"3142","2019_00-0034140",50,22.8070175438596,22.093023255814,33.3333333333333,25.9842519685039,21.875,20.9090909090909,30.7692307692308
"3143","2019_00-0034158",99.5475113122172,99.0461049284579,92.1810699588477,100,96.734693877551,99.4579945799458,95.8071278825996,98.825831702544
"3144","2019_00-0034159",60,84.7222222222222,56.6037735849057,8,57.9545454545455,76.9230769230769,58.2417582417582,81.4285714285714
"3145","2019_00-0034177",60,0,11.2781954887218,0,9.63855421686747,6.06060606060606,9.25925925925926,5.71428571428571
"3146","2019_00-0034184",44.4029850746269,30.9597523219814,32.3679727427598,0,31.2426035502959,44.4776119402985,33.8129496402878,36.8038740920097
"3147","2019_00-0034186",43.4782608695652,19.672131147541,41.6030534351145,0,38.0530973451327,20.5882352941176,36.25,32
"3148","2019_00-0034201",0,0,6.12244897959184,0,3.57142857142857,0,6.38297872340426,0
"3149","2019_00-0034208",33.7349397590361,15.5555555555556,19.1919191919192,0,13.4328358208955,32.6388888888889,20.6521739130435,21.9387755102041
"3150","2019_00-0034253",19.2307692307692,7.46268656716418,16.7479674796748,25,14.2857142857143,8.8,16.7785234899329,5.66037735849057
"3151","2019_00-0034256",0,18.8679245283019,15.7894736842105,0,16.025641025641,15.3846153846154,16.2361623616236,15.0943396226415
"3152","2019_00-0034261",66.6666666666667,87.1287128712871,87.6811594202899,100,87.6190476190476,0,87.6811594202899,87.1287128712871
"3153","2019_00-0034267",44.4444444444444,18.1818181818182,21.0526315789474,0,16.2790697674419,34.6153846153846,20,26.6666666666667
"3154","2019_00-0034270",72.1698113207547,17.0731707317073,10.188679245283,0,23.1805929919137,34.6260387811634,16.8356997971602,21.1576846307385
