season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2021,Justin Houston,6222,ED,BLT,15,6,0,100,0,1,3,76.6,77.8,76.6,77.4,59,30.1,12,22,0,29,23.7,9,1,1,118.8,2,6,2,1,26,577,574,0,3,560,11,0,3,391,160,0,23,23,2,40,0,56,56,28
2021,K.J. Wright,6251,LB,LV,17,20,0,93.8,0,0,23,57.9,63.7,83.7,52.1,67.2,62.9,0,2,0,29,9.8,6,0,1,125.3,15,0,231,6,202,426,145,0,0,145,0,0,281,4,220,43,21,35,16,2,1,145,103,9.7
2021,Taiwan Jones,6277,HB,BUF,1,0,0,,0,0,4,60.7,70.2,60,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2021,Buster Skrine,6289,CB,TEN,6,3,0,60.9,1,0,31,65.1,64.6,81.4,52.4,59.6,42.3,0,1,1,41,18.2,4,2,1,66.9,14,0,14,87,160,218,0,0,0,0,0,3,218,4,54,114,7,15,23,1,0,178,61,12.7
2021,Richard Sherman,6306,CB,TB,5,0,0,73.3,0,0,30,51.8,53.3,81,64.9,63.2,38.1,0,1,1,24,26.7,4,0,2,70.7,11,0,9,106,117,141,2,0,0,2,0,13,139,5,19,10,3,11,15,1,0,127,50,11.5
2021,Pernell McPhee,6317,ED,BLT,10,2,0,100,0,0,3,55.2,51.9,56.8,54.4,55.2,45.3,2,4,0,8,17.6,3,0,1,100,1,1,15,1,13,234,218,3,16,176,23,0,16,137,84,0,10,12,1,7,0,8,8,8
2021,Lawrence Guy,6385,DI,NE,17,11,0,,0,0,19,60,62.5,88,56.6,62.1,50.1,4,9,0,,12.1,8,0,0,0,0,2,0,0,0,532,531,7,269,64,191,0,1,234,298,0,33,47,0,15,0,0,0,
2021,Malcolm Smith,6394,LB,CLV,15,9,0,85.4,0,0,8,65,57,6.2,48.2,53.1,46.3,0,0,2,22,16.4,9,3,2,117.5,35,0,371,1,245,425,21,0,0,21,0,3,404,18,162,28,26,37,41,0,6,311,228,8.9
2021,Chris Harris Jr.,6457,CB,LAC,14,2,0,62.7,1,0,27,60.4,62.4,85.1,64.3,64.1,62.6,1,2,1,44,13.3,6,3,4,95.1,32,0,104,62,454,747,13,0,0,13,0,42,734,15,278,526,8,37,51,3,3,359,116,11.2
2021,Josh Bynes,6503,LB,BLT,14,21,1,75,0,0,3,65.2,74.8,83.7,76.6,74.8,72.9,1,3,0,38,8.1,7,3,0,104.4,24,2,512,0,269,537,8,0,0,8,0,0,529,29,239,17,35,58,32,6,1,226,122,9.4
