"","yearly_id","down1","down2","down3","down4"
"1689","2017_00-0033536",29.0102389078498,37.962962962963,47.1428571428571,44.4444444444444
"1690","2017_00-0033537",92.8571428571429,93.0817610062893,91.6666666666667,100
"1691","2017_00-0033538",98.0972515856237,97.5609756097561,98.4732824427481,100
"1692","2017_00-0033553",8.24468085106383,7.21311475409836,1.62162162162162,33.3333333333333
"1693","2017_00-0033555",26.7924528301887,26.0204081632653,23.6162361623616,39.1304347826087
"1694","2017_00-0033556",35.6164383561644,40.1197604790419,32.1266968325792,47.3684210526316
"1695","2017_00-0033559",34.032634032634,18.125,5.04587155963303,22.2222222222222
"1696","2017_00-0033560",31.6831683168317,40,49.3333333333333,33.3333333333333
"1697","2017_00-0033562",7.6036866359447,10.7246376811594,10.3960396039604,11.7647058823529
"1698","2017_00-0033567",15.6626506024096,6.55737704918033,4.65116279069767,0
"1699","2017_00-0033570",0,0,0,20
"1700","2017_00-0033573",10,11.1111111111111,15.625,40
"1701","2017_00-0033576",6.25,3.51758793969849,1.49253731343284,0
"1702","2017_00-0033578",33.5443037974684,38.5964912280702,41.6666666666667,100
"1703","2017_00-0033581",10,20,13.7931034482759,25
"1704","2017_00-0033589",24,9.52380952380952,16.6666666666667,0
"1705","2017_00-0033591",24.390243902439,18.6206896551724,8.52272727272727,13.3333333333333
"1706","2017_00-0033592",0,2.77777777777778,3.44827586206897,0
"1707","2017_00-0033594",60.1769911504425,60,47.6923076923077,75
"1708","2017_00-0033596",9.27835051546392,6.33802816901408,7.84313725490196,60
"1709","2017_00-0033604",8.19672131147541,6.81818181818182,6.06060606060606,0
"1710","2017_00-0033611",25.2100840336134,26.2857142857143,16,16.6666666666667
"1711","2017_00-0033633",73.3333333333333,74.0740740740741,73.015873015873,33.3333333333333
"1712","2017_00-0033658",11.1111111111111,0,0,0
"1713","2017_00-0033662",9.67741935483871,8.51063829787234,15.3846153846154,50
"1714","2017_00-0033676",3.7037037037037,5,0,0
"1715","2017_00-0033681",57.7966101694915,60.2771362586605,83.5714285714286,54.5454545454545
"1716","2017_00-0033696",19.2307692307692,35.2941176470588,0,0
"1717","2017_00-0033699",20.159151193634,19.8606271777003,31.6939890710383,40
"1718","2017_00-0033717",48.6338797814208,50.3225806451613,75.2293577981651,90.9090909090909
"1719","2017_00-0033719",14.8648648648649,6.74157303370786,1.6,7.69230769230769
"1720","2017_00-0033725",20.7171314741036,23.9247311827957,33.7209302325581,39.1304347826087
"1721","2017_00-0033740",84,80.9523809523809,75,100
"1722","2017_00-0033742",0,4.76190476190476,8.33333333333333,0
"1723","2017_00-0033744",57.3033707865169,60,61.6161616161616,57.1428571428571
"1724","2017_00-0033748",35,31.3131313131313,9.72222222222222,33.3333333333333
"1725","2017_00-0033760",3.07692307692308,6.25,3.125,0
"1726","2017_00-0033763",33.3333333333333,50,55.5555555555556,0
"1727","2017_00-0033785",23.6842105263158,24,40,75
"1728","2017_00-0033788",85.625,85.7142857142857,83.1325301204819,40
"1729","2017_00-0033796",17.8571428571429,23.8095238095238,0,0
"1730","2017_00-0033838",11.1111111111111,26.0869565217391,21.4285714285714,50
"1731","2017_00-0033839",73.6156351791531,76.8888888888889,81.2080536912752,75
"1732","2017_00-0033840",35.1032448377581,34.4569288389513,52.5114155251142,58.3333333333333
"1733","2017_00-0033854",0,5.26315789473684,0,0
"1734","2017_00-0033855",14.8148148148148,16.9811320754717,25,62.5
"1735","2017_00-0033856",71.6599190283401,70.1657458563536,31.5126050420168,50
"1736","2017_00-0033857",74.6987951807229,78.5932721712538,85.7142857142857,84.6153846153846
"1737","2017_00-0033858",65.29284164859,52.247191011236,19.2622950819672,45.4545454545455
"1738","2017_00-0033859",41.726618705036,39.9038461538462,35.4166666666667,37.5
"1739","2017_00-0033863",12.5,16.6666666666667,7.14285714285714,50
"1740","2017_00-0033869",100,100,100,100
"1741","2017_00-0033871",70.3592814371258,78.7644787644788,93.7853107344633,62.5
"1742","2017_00-0033873",93.75,95.4545454545455,92.3076923076923,100
"1743","2017_00-0033879",76.8518518518518,72.4358974358974,15.8469945355191,50
"1744","2017_00-0033881",71.1217183770883,79.8816568047337,87.5536480686695,75
"1745","2017_00-0033885",46.1873638344227,47.6878612716763,48.3333333333333,52
"1746","2017_00-0033888",100,100,100,100
"1747","2017_00-0033889",85.4867256637168,85.7487922705314,86.3636363636364,72.7272727272727
"1748","2017_00-0033891",75.3694581280788,79.1176470588235,91.40625,94.1176470588235
"1749","2017_00-0033893",74.1379310344828,66.6666666666667,46.4285714285714,0
"1750","2017_00-0033895",16.7652859960552,18.4491978609626,67.7290836653386,53.8461538461538
"1751","2017_00-0033896",38.5269121813031,30.8550185873606,12.1546961325967,7.14285714285714
"1752","2017_00-0033897",55,52.1897810218978,12.2994652406417,0
"1753","2017_00-0033899",88.8372093023256,88,89.7777777777778,80
"1754","2017_00-0033901",88.5245901639344,89.0243902439024,87.9194630872483,33.3333333333333
"1755","2017_00-0033904",85.7142857142857,86.4516129032258,87.1794871794872,100
"1756","2017_00-0033906",44.2307692307692,53.6193029490617,57.345971563981,61.5384615384615
"1757","2017_00-0033908",72.1413721413721,78.7965616045845,88.412017167382,66.6666666666667
"1758","2017_00-0033909",97.3305954825462,97.3684210526316,97.4683544303797,81.8181818181818
"1759","2017_00-0033910",76.5789473684211,73.356401384083,74.7311827956989,81.8181818181818
"1760","2017_00-0033911",15.8351409978308,26.123595505618,35.655737704918,27.2727272727273
"1761","2017_00-0033916",27.3809523809524,23.6842105263158,18.2242990654206,45.4545454545455
"1762","2017_00-0033921",43.0612244897959,44.3526170798898,34.1232227488152,28.5714285714286
"1763","2017_00-0033923",76.1133603238866,69.7222222222222,29.4372294372294,54.5454545454545
"1764","2017_00-0033925",21.1678832116788,21.7777777777778,8.59375,0
"1765","2017_00-0033932",69.4078947368421,71.689497716895,64.1025641025641,40
"1766","2017_00-0033933",20.9302325581395,21.8978102189781,33.0097087378641,0
"1767","2017_00-0033936",80.365296803653,78.9808917197452,73.728813559322,66.6666666666667
"1768","2017_00-0033937",17.607223476298,19.4285714285714,12.5541125541126,25
"1769","2017_00-0033943",23.1914893617021,30.835734870317,31.140350877193,53.8461538461538
