"","yearly_id","WR1","WR2","WR3","WR4"
"35","2016_00-0024264",37.5,4.76190476190476,2.94117647058824,0
"36","2016_00-0024268",93.9759036144578,71.6666666666667,10.5571847507331,0
"37","2016_00-0024270",86.3636363636364,97.0443349753695,98.8950276243094,100
"38","2016_00-0024271",100,100,100,100
"39","2016_00-0024272",0,0,1.75438596491228,33.3333333333333
"40","2016_00-0024281",58.8235294117647,38.0530973451327,39.1120507399577,100
"41","2016_00-0024323",100,98.6547085201794,98.8976377952756,100
"42","2016_00-0024334",72.7272727272727,89.8089171974522,89.3111638954869,96.8652037617555
"43","2016_00-0024389",85.8064516129032,51.9650655021834,86.4864864864865,0
"44","2016_00-0024424",100,97.7578475336323,97.7952755905512,96.2962962962963
"45","2016_00-0024535",18.6666666666667,1.89393939393939,0,0
"46","2016_00-0025390",100,100,100,100
"47","2016_00-0025394",54.8387096774194,92.3076923076923,36.7521367521368,0
"48","2016_00-0025396",0,64.2105263157895,73.6648250460405,100
"49","2016_00-0025415",100,100,100,0
"50","2016_00-0025418",98,92.1052631578947,94.1068139963168,100
"51","2016_00-0025430",52.3809523809524,38.5542168674699,27.7372262773723,42.8571428571429
"52","2016_00-0025446",73.3333333333333,93.0635838150289,88.9273356401384,0
"53","2016_00-0025473",92.3076923076923,98.2758620689655,99.1886409736308,100
"54","2016_00-0025506",72.5490196078431,85.024154589372,82.1100917431193,80
"55","2016_00-0025509",100,100,100,100
"56","2016_00-0025512",100,100,99.6894409937888,100
"57","2016_00-0025549",100,47.3684210526316,22.4422442244224,2.17391304347826
"58","2016_00-0025708",100,93.9393939393939,81.651376146789,100
"59","2016_00-0025820",57.1428571428571,78.8461538461538,76.3736263736264,0
"60","2016_00-0025900",100,96.44128113879,95.2941176470588,100
"61","2016_00-0026008",100,90.5405405405405,18.9010989010989,0
"62","2016_00-0026019",0,8.10810810810811,62.5,0
"63","2016_00-0026035",0,6.45161290322581,55.3530751708428,100
"64","2016_00-0026069",92,35.7894736842105,14.9171270718232,0
"65","2016_00-0026143",95.4545454545455,97.8858350951374,99.0196078431373,100
"66","2016_00-0026144",44.4444444444444,32.5581395348837,15.2777777777778,0
"67","2016_00-0026152",100,100,100,100
"68","2016_00-0026153",86.3636363636364,72.4683544303797,52.3041474654378,0
"69","2016_00-0026155",100,95.1456310679612,97.6143141153081,100
"70","2016_00-0026157",84.6153846153846,58.4905660377358,63.3663366336634,0
"71","2016_00-0026158",90,98.2758620689655,98.3844911147011,100
"72","2016_00-0026164",61.1111111111111,21.7391304347826,10.2189781021898,3.77358490566038
"73","2016_00-0026166",100,94.392523364486,91.3207547169811,100
"74","2016_00-0026176",71.4285714285714,81.7204301075269,89.4039735099338,95.5823293172691
"75","2016_00-0026182",0,2.36220472440945,79.4594594594595,100
"76","2016_00-0026184",72.7272727272727,76.056338028169,65.3944020356234,23.202614379085
"77","2016_00-0026189",43.3333333333333,70.5479452054795,78.0523255813954,0
"78","2016_00-0026197",100,0,0,0
"79","2016_00-0026201",100,92.2885572139303,65.7986111111111,0
"80","2016_00-0026205",96.2962962962963,97.1751412429379,96.2441314553991,100
"81","2016_00-0026213",13.7931034482759,11.3207547169811,15.4639175257732,0
"82","2016_00-0026223",90,97.9885057471264,98.546042003231,100
"83","2016_00-0026224",9.32203389830508,20.5405405405405,48.3018867924528,100
"84","2016_00-0026248",47.6190476190476,83.7837837837838,85.9375,0
"85","2016_00-0026267",91.304347826087,39.4618834080717,80,0
"86","2016_00-0026270",50,22.5806451612903,36.9565217391304,50
"87","2016_00-0026275",89.4736842105263,85.7954545454545,91.9230769230769,100
"88","2016_00-0026281",100,96.4143426294821,91.551724137931,100
"89","2016_00-0026286",91.3793103448276,55.868544600939,0,0
"90","2016_00-0026289",48.2758620689655,37.1980676328502,18.4121621621622,11.5384615384615
"91","2016_00-0026290",100,95.5555555555556,92.8057553956834,83.5164835164835
"92","2016_00-0026293",53.8461538461538,4.74137931034483,1.25391849529781,0
"93","2016_00-0026298",100,100,69.2307692307692,0
"94","2016_00-0026327",0,61.5384615384615,56.0283687943262,0
"95","2016_00-0026345",4.34782608695652,85.9872611464968,85.6164383561644,0
"96","2016_00-0026370",91.25,94.413407821229,98.0176211453744,93.3333333333333
"97","2016_00-0026373",48,55.0387596899225,47.3354231974922,17.5438596491228
"98","2016_00-0026393",44.8275862068966,44.0366972477064,9.48275862068965,0
"99","2016_00-0026408",74.2857142857143,71.7948717948718,77.6357827476038,0
"100","2016_00-0026498",100,100,100,100
"101","2016_00-0026500",94.6236559139785,98.3193277310924,94.4444444444444,100
"102","2016_00-0026544",0,0,11.5384615384615,0
"103","2016_00-0026561",100,98.8439306358381,95.983379501385,44.4444444444444
"104","2016_00-0026625",76.4705882352941,80.2083333333333,85.6540084388186,100
"105","2016_00-0026739",0,0,77.6960784313726,66.6666666666667
"106","2016_00-0026762",94.2528735632184,90.1639344262295,95.863309352518,100
"107","2016_00-0026784",44,21.6783216783217,30.4733727810651,16.6666666666667
"108","2016_00-0026814",89.7959183673469,100,100,100
"109","2016_00-0026839",100,100,100,100
"110","2016_00-0026855",0,19.5652173913043,28.125,0
"111","2016_00-0026898",33.3333333333333,30.5555555555556,35.8208955223881,0
"112","2016_00-0026901",52.8571428571429,76.7241379310345,81.0985460420032,100
"113","2016_00-0026929",0,100,100,0
"114","2016_00-0026932",0,5.55555555555556,8.51063829787234,0
"115","2016_00-0026950",100,98.9208633093525,100,100
"116","2016_00-0026957",90.7894736842105,57.3604060913706,1.1889035667107,0
"117","2016_00-0026982",82.2222222222222,66.1971830985916,76.4227642276423,0
"118","2016_00-0026983",6.45161290322581,52.5423728813559,35.8267716535433,100
"119","2016_00-0026995",75.8928571428571,76.8924302788845,89.7172236503856,96.1538461538462
"120","2016_00-0026997",91.6666666666667,97.6744186046512,99.0196078431373,100
"121","2016_00-0026998",22.2222222222222,43.6363636363636,48.6111111111111,100
"122","2016_00-0026999",100,100,100,0
"123","2016_00-0027004",93.1034482758621,95.2380952380952,94.468085106383,100
"124","2016_00-0027006",21.0526315789474,82.3275862068966,90.9774436090226,94.7368421052632
"125","2016_00-0027025",100,100,100,100
"126","2016_00-0027027",97.7272727272727,98.3086680761099,98.2352941176471,100
"127","2016_00-0027029",51.9230769230769,66.6666666666667,63.8888888888889,0
"128","2016_00-0027053",63.6363636363636,70.5263157894737,78.4974093264249,80
"129","2016_00-0027057",11.1111111111111,5.75342465753425,32.0512820512821,100
"130","2016_00-0027061",61.9047619047619,71.5909090909091,57.5581395348837,54.5454545454545
"131","2016_00-0027078",100,98.9130434782609,88.0782918149466,87.6404494382023
"132","2016_00-0027125",100,95.3947368421053,85.054347826087,100
"133","2016_00-0027135",96.4912280701754,54.5081967213115,17.8694158075601,0
"134","2016_00-0027139",89.4736842105263,48.2014388489209,21.5320910973085,0
"135","2016_00-0027150",2.98507462686567,77.363184079602,98.7847222222222,100
"136","2016_00-0027155",100,63.9344262295082,49.1315136476427,16.6666666666667
"137","2016_00-0027215",100,99.5555555555556,7.80254777070064,0
"138","2016_00-0027218",0,11.1111111111111,3.26086956521739,0
"139","2016_00-0027265",0,10.3448275862069,80.8743169398907,100
"140","2016_00-0027282",46.6666666666667,12.3376623376623,10.6870229007634,0
"141","2016_00-0027325",88.0597014925373,63.4328358208955,23.4375,0
"142","2016_00-0027531",63.6363636363636,53.2374100719424,37.1134020618557,0
"143","2016_00-0027607",82.1428571428571,83.4437086092715,83.6027713625866,100
"144","2016_00-0027609",100,100,100,100
"145","2016_00-0027648",100,97.3684210526316,94.6593001841621,100
"146","2016_00-0027651",0,0.980392156862745,4.1025641025641,96.551724137931
"147","2016_00-0027654",42.8571428571429,6.06060606060606,11.0294117647059,100
"148","2016_00-0027656",94.2857142857143,75.5208333333333,58.6666666666667,0
"149","2016_00-0027658",100,100,100,0
"150","2016_00-0027667",81.25,86.4130434782609,89.4308943089431,87.5
"151","2016_00-0027674",100,97.7941176470588,95.9247648902821,96.25
"152","2016_00-0027675",100,79.7368421052632,6.44567219152855,0
"153","2016_00-0027678",100,100,99.7957099080695,100
"154","2016_00-0027681",38.6363636363636,98.0295566502463,98.6187845303867,100
"155","2016_00-0027685",0,78.5234899328859,81.419624217119,88.9908256880734
"156","2016_00-0027690",0,100,100,100
"157","2016_00-0027691",68.4210526315789,25.531914893617,18.8874514877102,97.6744186046512
"158","2016_00-0027694",80,95.1048951048951,97.4203338391502,0
"159","2016_00-0027696",77.1428571428572,74.496644295302,72.992700729927,61.2903225806452
"160","2016_00-0027714",82.8571428571429,67.2413793103448,72.6978998384491,66.6666666666667
"161","2016_00-0027717",87.719298245614,97.119341563786,90.8304498269896,100
"162","2016_00-0027725",58.3333333333333,12.6126126126126,13.3079847908745,15.7894736842105
"163","2016_00-0027750",80,77.9411764705882,81.0606060606061,0
"164","2016_00-0027768",100,81.4814814814815,94.9152542372881,100
"165","2016_00-0027778",44.4444444444444,76.1904761904762,56.1151079136691,0
"166","2016_00-0027791",33.3333333333333,23.4042553191489,63.3228840125392,6.25
"167","2016_00-0027793",92,97.8723404255319,98.8636363636364,100
"168","2016_00-0027816",2.17391304347826,3.94736842105263,6.66666666666667,100
"169","2016_00-0027825",0,38.1443298969072,6.95187165775401,0
"170","2016_00-0027854",96.2962962962963,100,98.6776859504132,100
"171","2016_00-0027857",100,100,99.8171846435101,0
"172","2016_00-0027859",100,100,100,100
"173","2016_00-0027861",0,4.47761194029851,27.4193548387097,1.42857142857143
"174","2016_00-0027864",66.0714285714286,46.4705882352941,22.6666666666667,0
"175","2016_00-0027869",95.2380952380952,95.2941176470588,97.4137931034483,98.4615384615385
"176","2016_00-0027870",100,95.2127659574468,94.6022727272727,100
"177","2016_00-0027873",100,93.5251798561151,76.6612641815235,0
"178","2016_00-0027874",33.3333333333333,78.8590604026846,83.2985386221294,91.743119266055
"179","2016_00-0027875",66.6666666666667,97.1428571428571,98.6196319018405,97.1887550200803
"180","2016_00-0027891",0,51.7730496453901,94.6959896507115,100
"181","2016_00-0027902",25,82.2222222222222,87.6172607879925,100
"182","2016_00-0027905",48,26.530612244898,1.63265306122449,0
"183","2016_00-0027918",0,17.1314741035857,90,90
"184","2016_00-0027925",100,52.7363184079602,5.03472222222222,0
"185","2016_00-0027939",97.9591836734694,99.4285714285714,96.1832061068702,100
"186","2016_00-0027942",46.1538461538462,90.4,81.1816192560175,100
"187","2016_00-0027944",50,73.5148514851485,83.6559139784946,100
"188","2016_00-0027947",91.3793103448276,97.1910112359551,98.8527724665392,96.6666666666667
"189","2016_00-0027948",20,60,91.1764705882353,0
