"","yearly_id","cluster_xgboost"
"380","2018_00-0032054","Cluster 6"
"381","2018_00-0032112","Cluster Other"
"382","2018_00-0032128","Cluster 7"
"383","2018_00-0032160","Cluster 3"
"384","2018_00-0032170","Cluster Other"
"385","2018_00-0032208","Cluster 6"
"386","2018_00-0032211","Cluster 3"
"387","2018_00-0032355","Cluster 7"
"388","2018_00-0032362","Cluster 7"
"389","2018_00-0032385","Cluster 3"
"390","2018_00-0032398","Cluster 6"
"391","2018_00-0032543","Cluster 6"
"392","2018_00-0032626","Cluster 3"
"393","2018_00-0032688","Cluster 5"
"394","2018_00-0032707","Cluster Other"
"395","2018_00-0032760","Cluster 5"
"396","2018_00-0032765","Cluster 3"
"397","2018_00-0032775","Cluster 6"
"398","2018_00-0032778","Cluster 5"
"399","2018_00-0032791","Cluster Other"
"400","2018_00-0032795","Cluster 6"
"401","2018_00-0032951","Cluster 7"
"402","2018_00-0032966","Cluster 6"
"403","2018_00-0032977","Cluster 7"
"404","2018_00-0032980","Cluster Other"
"405","2018_00-0033009","Cluster 3"
"406","2018_00-0033040","Cluster 3"
"407","2018_00-0033094","Cluster 6"
"408","2018_00-0033127","Cluster 3"
"409","2018_00-0033251","Cluster 6"
"410","2018_00-0033282","Cluster 6"
"411","2018_00-0033292","Cluster 7"
"412","2018_00-0033306","Cluster Other"
"413","2018_00-0033307","Cluster 7"
"414","2018_00-0033375","Cluster 6"
"415","2018_00-0033379","Cluster Other"
"416","2018_00-0033382","Cluster 6"
"417","2018_00-0033460","Cluster 5"
"418","2018_00-0033464","Cluster 6"
"419","2018_00-0033466","Cluster Other"
"420","2018_00-0033536","Cluster 5"
"421","2018_00-0033562","Cluster Other"
"422","2018_00-0033573","Cluster 6"
"423","2018_00-0033589","Cluster 5"
"424","2018_00-0033591","Cluster 6"
"425","2018_00-0033681","Cluster 5"
"426","2018_00-0033839","Cluster 7"
"427","2018_00-0033857","Cluster 3"
"428","2018_00-0033859","Cluster Other"
"429","2018_00-0033871","Cluster 3"
"430","2018_00-0033891","Cluster 5"
"431","2018_00-0033908","Cluster 7"
"432","2018_00-0033911","Cluster 5"
"433","2018_00-0033921","Cluster 3"
"434","2018_00-0033932","Cluster 3"
"435","2018_00-0033933","Cluster 5"
"436","2018_00-0033943","Cluster 5"
"437","2018_00-0034052","Cluster 6"
"438","2018_00-0034054","Cluster Other"
"439","2018_00-0034258","Cluster Other"
"440","2018_00-0034272","Cluster 5"
"441","2018_00-0034273","Cluster 6"
