"","yearly_id","cluster"
"323","2017_00-0031571","Cluster 5"
"324","2017_00-0033059","Cluster 1"
"325","2017_00-0032788","Cluster 5"
"326","2017_00-0032353","Cluster 3"
"327","2017_00-0032496","Cluster 9"
"328","2017_00-0033877","Cluster 9"
"329","2017_00-0033544","Cluster 6"
"330","2017_00-0033568","Cluster 2"
"331","2017_00-0033393","Cluster 2"
"332","2017_00-0027723","Cluster 10"
"333","2017_00-0030063","Cluster 12"
"334","2017_00-0030449","Cluster 12"
"335","2017_00-0031071","Cluster 8"
"336","2017_00-0030864","Cluster 8"
"337","2017_00-0032269","Cluster 12"
"338","2017_00-0031676","Cluster 10"
"339","2017_00-0032402","Cluster 8"
"340","2017_00-0033952","Cluster 8"
"341","2017_00-0027975","Cluster 11"
"342","2017_00-0030558","Cluster 7"
"343","2017_00-0030064","Cluster 4"
"344","2017_00-0030442","Cluster 11"
"345","2017_00-0031018","Cluster 1"
"346","2017_00-0032406","Cluster 4"
"347","2017_00-0033917","Cluster 7"
"348","2017_00-0033570","Cluster 1"
"349","2017_00-0027416","Cluster 9"
"350","2017_00-0028924","Cluster 9"
"351","2017_00-0030228","Cluster 6"
"352","2017_00-0031259","Cluster 2"
"353","2017_00-0031276","Cluster 5"
"354","2017_00-0033055","Cluster 6"
"355","2017_00-0032525","Cluster 5"
"356","2017_00-0033587","Cluster 3"
"357","2017_00-0026190","Cluster 11"
"358","2017_00-0027941","Cluster 10"
"359","2017_00-0029568","Cluster 12"
"360","2017_00-0029799","Cluster 7"
"361","2017_00-0029946","Cluster 10"
"362","2017_00-0032052","Cluster 11"
"363","2017_00-0032154","Cluster 8"
"364","2017_00-0033123","Cluster 11"
"365","2017_00-0033907","Cluster 7"
"366","2017_00-0033598","Cluster 10"
"367","2017_00-0031309","Cluster 4"
"368","2017_00-0032968","Cluster 4"
"369","2017_00-0033841","Cluster 1"
"370","2017_00-0033420","Cluster 3"
"371","2017_00-0027858","Cluster 9"
"372","2017_00-0028445","Cluster 9"
"373","2017_00-0029958","Cluster 5"
"374","2017_00-0031015","Cluster 2"
"375","2017_00-0031020","Cluster 3"
"376","2017_00-0031186","Cluster 5"
"377","2017_00-0031097","Cluster 6"
"378","2017_00-0030665","Cluster 9"
"379","2017_00-0032165","Cluster 6"
"380","2017_00-0032150","Cluster 6"
"381","2017_00-0033038","Cluster 2"
"382","2017_00-0033470","Cluster 1"
"383","2017_00-0027979","Cluster 8"
"384","2017_00-0028024","Cluster 12"
"385","2017_00-0030507","Cluster 10"
"386","2017_00-0031957","Cluster 8"
"387","2017_00-0031636","Cluster 8"
"388","2017_00-0032762","Cluster 12"
"389","2017_00-0023449","Cluster 4"
"390","2017_00-0027442","Cluster 11"
"391","2017_00-0028008","Cluster 11"
"392","2017_00-0031297","Cluster 11"
"393","2017_00-0031308","Cluster 5"
"394","2017_00-0031943","Cluster 1"
"395","2017_00-0033058","Cluster 1"
"396","2017_00-0032820","Cluster 1"
"397","2017_00-0033902","Cluster 7"
"398","2017_00-0033468","Cluster 11"
"399","2017_00-0029690","Cluster 6"
"400","2017_00-0030523","Cluster 6"
"401","2017_00-0029764","Cluster 2"
"402","2017_00-0030041","Cluster 2"
"403","2017_00-0031389","Cluster 9"
"404","2017_00-0031393","Cluster 4"
"405","2017_00-0031657","Cluster 5"
"406","2017_00-0031785","Cluster 2"
"407","2017_00-0032786","Cluster 5"
"408","2017_00-0032793","Cluster 5"
"409","2017_00-0032848","Cluster 5"
"410","2017_00-0033927","Cluster 9"
"411","2017_00-0033845","Cluster 3"
"412","2017_00-0029630","Cluster 12"
"413","2017_00-0029208","Cluster 10"
"414","2017_00-0031388","Cluster 12"
"415","2017_00-0030986","Cluster 10"
"416","2017_00-0032671","Cluster 8"
"417","2017_00-0033963","Cluster 10"
"418","2017_00-0027022","Cluster 11"
"419","2017_00-0027952","Cluster 11"
"420","2017_00-0029670","Cluster 4"
"421","2017_00-0030527","Cluster 4"
"422","2017_00-0032248","Cluster 3"
"423","2017_00-0031814","Cluster 7"
"424","2017_00-0031815","Cluster 3"
"425","2017_00-0032677","Cluster 1"
"426","2017_00-0033945","Cluster 7"
"427","2017_00-0033974","Cluster 7"
"428","2017_00-0029261","Cluster 6"
"429","2017_00-0030312","Cluster 9"
"430","2017_00-0031334","Cluster 6"
"431","2017_00-0031261","Cluster 9"
"432","2017_00-0031404","Cluster 2"
"433","2017_00-0032106","Cluster 3"
"434","2017_00-0032916","Cluster 6"
"435","2017_00-0033941","Cluster 5"
"436","2017_00-0033566","Cluster 2"
"437","2017_00-0033697","Cluster 5"
"438","2017_00-0025472","Cluster 10"
"439","2017_00-0027956","Cluster 12"
