PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
"210
(Comp)",NE,3941190,146190,741548
"211
(Comp)",MIN,3941190,146190,741548
"212
(Comp)",DAL,3941190,146190,741548
"213
(Comp)",ARI,3941190,146190,741548
"214
(Comp)",LV,3941190,146190,741548
"215
(Comp)",WAS,3941190,146190,741548
"216
(Comp)",SF,3941190,146190,741548
"217
(Comp)",KC,3941190,146190,741548
Round 7,,,,
"SIGNED CONTRACT

 PROJECTED CONTRACT",,,,
PICK,TEAM,TOTAL VALUE,SIGNING BONUS,2023 CAP
218,CHI,3941190,146190,741548
219,"PHIfrom HOU
via MIN",3941190,146190,741548
220,LVfrom ARI,3923435,128435,737109
221,IND,3923019,128019,737005
222,SFfrom DEN,3920418,125418,736354
223,LAR,3919422,124422,736105
224,ATLfrom LV,3916047,121047,735262
225,ATL,3913416,118416,734604
226,JACfrom CAR,3911551,116551,734138
227,NO,3911031,116031,734008
228,TEN,3910659,115659,733915
229,CLE,3909864,114864,733716
230,TBfrom NYJ,3907597,112597,733149
231,LVfrom NE,3906958,111958,732989
232,GB,3906943,111943,732986
233,WAS,3905412,110412,732603
234,PIT,3905367,110367,732592
235,"GBfrom DET
via LAR",3904951,109951,732488
236,INDfrom TB,3902484,107484,731871
237,SEA,3900626,105626,731406
238,MIA,3898961,103961,730990
239,LAC,3894613,99613,729903
240,NYGfrom BAL,3890488,95488,728872
241,"PITfrom MIN
via DEN",3889537,94537,728634
242,GBfrom JAC,3888556,93556,728389
243,NYG,3887575,92575,728144
244,DAL,3886847,91847,727962
245,ATLfrom BUF,3886044,91044,727761
246,CIN,3885301,90301,727575
247,SF,3884557,89557,727389
248,PHI,3883428,88428,727107
249,KC,3882603,87603,726901
"250
(Comp)",KC,3881421,86421,726605
"251
(Comp)",LAR,3880276,85276,726319
"252
(Comp)",TB,3880276,85276,726319
"253
(Comp)",SF,3880276,85276,726319
"254
(Comp)",NYG,3880276,85276,726319
"255
(Comp)",SF,3880276,85276,726319
"256
(Comp)",GB,3880276,85276,726319
"257
(Comp)",NO,3880276,85276,726319
"258
(Comp)",CHI,3880276,85276,726319
"259
(Comp)",HOU,3880276,85276,726319
