"","gsis_id","offense_personnel","snap_count","team_snaps","snap_personnel_usage"
"347","00-0028076","1 RB, 2 TE, 2 WR",64,73,87.6712328767123
"348","00-0028076","1 RB, 3 TE, 1 WR",22,28,78.5714285714286
"349","00-0028076","2 RB, 0 TE, 3 WR",5,6,83.3333333333333
"350","00-0028076","2 RB, 1 TE, 2 WR",13,15,86.6666666666667
"351","00-0028076","2 RB, 2 TE, 1 WR",1,1,100
"352","00-0028097","0 RB, 2 TE, 3 WR",0,5,0
"353","00-0028097","1 RB, 1 TE, 3 WR",17,295,5.76271186440678
"354","00-0028097","1 RB, 2 TE, 2 WR",71,230,30.8695652173913
"355","00-0028097","1 RB, 3 TE, 1 WR",74,75,98.6666666666667
"356","00-0028097","2 RB, 0 TE, 3 WR",0,1,0
"357","00-0028097","2 RB, 1 TE, 2 WR",64,190,33.6842105263158
"358","00-0028097","2 RB, 2 TE, 1 WR",62,127,48.8188976377953
"359","00-0028097","2 RB, 3 TE, 0 WR",10,10,100
"360","00-0028118","1 RB, 0 TE, 4 WR",1,1,100
"361","00-0028118","1 RB, 1 TE, 3 WR",174,206,84.4660194174757
"362","00-0028118","1 RB, 2 TE, 2 WR",99,118,83.8983050847458
"363","00-0028118","1 RB, 3 TE, 1 WR",25,25,100
"364","00-0028118","2 RB, 0 TE, 3 WR",1,5,20
"365","00-0028118","2 RB, 1 TE, 2 WR",14,16,87.5
"366","00-0028118","2 RB, 2 TE, 1 WR",1,1,100
"367","00-0028129","0 RB, 1 TE, 4 WR",2,3,66.6666666666667
"368","00-0028129","0 RB, 2 TE, 3 WR",3,6,50
"369","00-0028129","1 RB, 0 TE, 4 WR",1,1,100
"370","00-0028129","1 RB, 1 TE, 3 WR",704,776,90.7216494845361
"371","00-0028129","1 RB, 2 TE, 2 WR",246,291,84.5360824742268
"372","00-0028129","1 RB, 3 TE, 1 WR",93,98,94.8979591836735
"373","00-0028129","2 RB, 1 TE, 2 WR",17,17,100
"374","00-0028237","0 RB, 1 TE, 3 WR",1,1,100
"375","00-0028237","1 RB, 0 TE, 4 WR",1,10,10
"376","00-0028237","1 RB, 1 TE, 3 WR",16,65,24.6153846153846
"377","00-0028237","1 RB, 2 TE, 2 WR",8,47,17.0212765957447
"378","00-0028237","2 RB, 0 TE, 3 WR",3,15,20
"379","00-0028237","2 RB, 1 TE, 2 WR",11,25,44
"380","00-0028237","2 RB, 2 TE, 1 WR",3,9,33.3333333333333
"381","00-0028237","3 RB, 0 TE, 2 WR",0,3,0
"382","00-0028237","3 RB, 1 TE, 1 WR",0,1,0
"383","00-0028292","0 RB, 1 TE, 4 WR",0,1,0
"384","00-0028292","0 RB, 2 TE, 3 WR",0,1,0
"385","00-0028292","1 RB, 1 TE, 2 WR,1 LB",6,6,100
"386","00-0028292","1 RB, 1 TE, 3 WR",0,429,0
"387","00-0028292","1 RB, 2 TE, 1 WR,1 LB",6,6,100
"388","00-0028292","1 RB, 2 TE, 2 WR",0,193,0
"389","00-0028292","1 RB, 3 TE, 0 WR,1 LB",5,5,100
"390","00-0028292","1 RB, 3 TE, 1 WR",0,35,0
"391","00-0028292","2 RB, 1 TE, 2 WR",2,7,28.5714285714286
"392","00-0028986","0 RB, 1 TE, 4 WR",0,1,0
"393","00-0028986","0 RB, 3 TE, 2 WR",5,5,100
"394","00-0028986","1 RB, 1 TE, 3 WR",73,196,37.2448979591837
"395","00-0028986","1 RB, 2 TE, 2 WR",40,78,51.2820512820513
"396","00-0028986","1 RB, 3 TE, 1 WR",31,77,40.2597402597403
"397","00-0028986","2 RB, 1 TE, 2 WR",14,51,27.4509803921569
"398","00-0028986","2 RB, 2 TE, 1 WR",13,24,54.1666666666667
"399","00-0028986","2 RB, 3 TE, 0 WR",1,6,16.6666666666667
"400","00-0029000","0 RB, 0 TE, 5 WR",10,10,100
"401","00-0029000","0 RB, 1 TE, 4 WR",3,6,50
"402","00-0029000","1 RB, 0 TE, 4 WR",78,89,87.6404494382023
"403","00-0029000","1 RB, 1 TE, 3 WR",622,804,77.363184079602
"404","00-0029000","1 RB, 2 TE, 2 WR",1,62,1.61290322580645
"405","00-0029000","2 RB, 0 TE, 3 WR",3,5,60
"406","00-0029000","2 RB, 1 TE, 2 WR",2,110,1.81818181818182
"407","00-0029000","2 RB, 2 TE, 1 WR",0,5,0
"408","00-0029119","0 RB, 1 TE, 4 WR",0,1,0
"409","00-0029119","0 RB, 2 TE, 3 WR",0,1,0
"410","00-0029119","1 RB, 1 TE, 3 WR",0,225,0
"411","00-0029119","1 RB, 2 TE, 2 WR",4,112,3.57142857142857
"412","00-0029119","1 RB, 3 TE, 1 WR",34,34,100
"413","00-0029119","2 RB, 1 TE, 2 WR",0,50,0
"414","00-0029119","2 RB, 2 TE, 1 WR",7,30,23.3333333333333
"415","00-0029119","2 RB, 3 TE, 0 WR",7,7,100
"416","00-0029144","0 RB, 1 TE, 4 WR",1,1,100
"417","00-0029144","0 RB, 2 TE, 3 WR",1,1,100
"418","00-0029144","1 RB, 1 TE, 3 WR",377,406,92.8571428571429
"419","00-0029144","1 RB, 2 TE, 2 WR",60,67,89.5522388059701
"420","00-0029144","2 RB, 1 TE, 2 WR",214,251,85.2589641434263
"421","00-0029144","2 RB, 2 TE, 1 WR",55,56,98.2142857142857
"422","00-0029144","2 RB, 3 TE, 0 WR",1,1,100
"423","00-0029164","0 RB, 2 TE, 3 WR",1,1,100
"424","00-0029164","1 RB, 1 TE, 3 WR",111,111,100
"425","00-0029164","1 RB, 2 TE, 2 WR",27,27,100
"426","00-0029164","1 RB, 3 TE, 1 WR",5,5,100
"427","00-0029164","2 RB, 1 TE, 2 WR",7,7,100
"428","00-0029164","2 RB, 2 TE, 1 WR",1,1,100
"429","00-0029239","0 RB, 2 TE, 3 WR",0,1,0
"430","00-0029239","1 RB, 0 TE, 4 WR",2,5,40
"431","00-0029239","1 RB, 1 TE, 3 WR",306,605,50.5785123966942
"432","00-0029239","1 RB, 2 TE, 2 WR",15,145,10.3448275862069
"433","00-0029239","2 RB, 0 TE, 3 WR",0,1,0
"434","00-0029239","2 RB, 1 TE, 2 WR",34,210,16.1904761904762
"435","00-0029239","2 RB, 1 TE, 4 WR",1,1,100
"436","00-0029239","2 RB, 2 TE, 1 WR",2,40,5
"437","00-0029263","0 RB, 1 TE, 4 WR",1,1,100
"438","00-0029263","1 RB, 1 TE, 2 WR,1 LB",4,4,100
"439","00-0029263","1 RB, 1 TE, 3 WR",516,532,96.9924812030075
"440","00-0029263","1 RB, 2 TE, 1 WR,1 LB",6,6,100
"441","00-0029263","1 RB, 2 TE, 2 WR",237,248,95.5645161290323
"442","00-0029263","1 RB, 3 TE, 0 WR,1 LB",3,3,100
"443","00-0029263","1 RB, 3 TE, 1 WR",26,26,100
"444","00-0029263","2 RB, 1 TE, 2 WR",6,6,100
"445","00-0029269","0 RB, 1 TE, 4 WR",0,1,0
"446","00-0029269","0 RB, 2 TE, 3 WR",0,1,0
"447","00-0029269","1 RB, 1 TE, 3 WR",21,401,5.23690773067332
"448","00-0029269","1 RB, 2 TE, 2 WR",10,79,12.6582278481013
"449","00-0029269","2 RB, 1 TE, 2 WR",19,247,7.69230769230769
"450","00-0029269","2 RB, 2 TE, 1 WR",2,57,3.50877192982456
"451","00-0029269","2 RB, 3 TE, 0 WR",0,2,0
"452","00-0029293","0 RB, 0 TE, 5 WR",1,1,100
"453","00-0029293","0 RB, 1 TE, 4 WR",35,35,100
"454","00-0029293","0 RB, 2 TE, 3 WR",1,1,100
"455","00-0029293","1 RB, 0 TE, 4 WR",16,16,100
