"","yearly_id","down","snap_count","team_snaps","snap_down_usage"
"156","2021_00-0027981",1,205,383,53.5248041775457
"157","2021_00-0027981",2,126,282,44.6808510638298
"158","2021_00-0027981",3,79,209,37.799043062201
"159","2021_00-0027981",4,11,26,42.3076923076923
"160","2021_00-0027993",1,361,375,96.2666666666667
"161","2021_00-0027993",2,296,306,96.7320261437908
"162","2021_00-0027993",3,182,186,97.8494623655914
"163","2021_00-0027993",4,19,19,100
"164","2021_00-0028002",1,134,352,38.0681818181818
"165","2021_00-0028002",2,121,262,46.1832061068702
"166","2021_00-0028002",3,115,165,69.6969696969697
"167","2021_00-0028002",4,13,18,72.2222222222222
"168","2021_00-0028042",1,67,312,21.474358974359
"169","2021_00-0028042",2,40,241,16.597510373444
"170","2021_00-0028042",3,9,159,5.66037735849057
"171","2021_00-0028042",4,3,13,23.0769230769231
"172","2021_00-0028063",1,0,31,0
"173","2021_00-0028063",2,0,24,0
"174","2021_00-0028063",3,1,14,7.14285714285714
"175","2021_00-0028063",4,0,1,0
"176","2021_00-0028076",1,87,97,89.6907216494845
"177","2021_00-0028076",2,72,82,87.8048780487805
"178","2021_00-0028076",3,49,57,85.9649122807018
"179","2021_00-0028076",4,3,3,100
"180","2021_00-0028097",1,168,400,42
"181","2021_00-0028097",2,103,311,33.1189710610932
"182","2021_00-0028097",3,19,202,9.40594059405941
"183","2021_00-0028097",4,8,20,40
"184","2021_00-0028118",1,126,148,85.1351351351351
"185","2021_00-0028118",2,105,123,85.3658536585366
"186","2021_00-0028118",3,82,96,85.4166666666667
"187","2021_00-0028118",4,2,5,40
"188","2021_00-0028129",1,481,528,91.0984848484848
"189","2021_00-0028129",2,345,388,88.9175257731959
"190","2021_00-0028129",3,214,245,87.3469387755102
"191","2021_00-0028129",4,26,31,83.8709677419355
"192","2021_00-0028237",1,14,66,21.2121212121212
"193","2021_00-0028237",2,16,60,26.6666666666667
"194","2021_00-0028237",3,13,44,29.5454545454545
"195","2021_00-0028237",4,0,6,0
"196","2021_00-0028292",1,11,303,3.63036303630363
"197","2021_00-0028292",2,4,234,1.70940170940171
"198","2021_00-0028292",3,3,137,2.18978102189781
"199","2021_00-0028292",4,1,9,11.1111111111111
"200","2021_00-0028986",1,75,189,39.6825396825397
"201","2021_00-0028986",2,57,142,40.1408450704225
"202","2021_00-0028986",3,39,94,41.4893617021277
"203","2021_00-0028986",4,6,13,46.1538461538462
"204","2021_00-0029000",1,300,492,60.9756097560976
"205","2021_00-0029000",2,238,363,65.564738292011
"206","2021_00-0029000",3,168,217,77.4193548387097
"207","2021_00-0029000",4,13,19,68.4210526315789
"208","2021_00-0029119",1,30,193,15.5440414507772
"209","2021_00-0029119",2,16,159,10.062893081761
